Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00003836:22G:nxt-1, Y71F9AM.5:CSR	nxt-1, Y71F9AM.5	2	2	1	1	C1	0	1	Control
22G	Gene:WBGene00003848:22G:odr-1, R01E6.1:WAGO	odr-1, R01E6.1	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00003848:22G:odr-1, R01E6.1:WAGO	odr-1, R01E6.1	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00003883:22G:osm-1, T27B1.1:WAGO	osm-1, T27B1.1	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00003911:22G:C09B8.7, pak-1:WAGO	C09B8.7, pak-1	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00003970:22G:F46C3.1, pek-1:WAGO	F46C3.1, pek-1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00003983:22G:pes-10, Y46G5A.27:CSR	pes-10, Y46G5A.27	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00003983:22G:pes-10, Y46G5A.27:CSR	pes-10, Y46G5A.27	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00004089:22G:ppk-3, VF11C1L.1:WAGO	ppk-3, VF11C1L.1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00004089:22G:ppk-3, VF11C1L.1:WAGO	ppk-3, VF11C1L.1	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00004089:22G:ppk-3, VF11C1L.1:WAGO	ppk-3, VF11C1L.1	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00004120:22G:F29C12.1, pqn-32:WAGO	F29C12.1, pqn-32	1	4	17	0	C1	1	0	Control
22G	Gene:WBGene00004121:22G:F35B3.5, ptrn-1:CSR	F35B3.5, ptrn-1	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00004148:22G:pqn-65, T13H2.4:WAGO	pqn-65, T13H2.4	2	4	11	1	C1	1	0	Control
22G	Gene:WBGene00004148:22G:pqn-65, T13H2.4:WAGO	pqn-65, T13H2.4	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00004192:22G:prx-2, ZK809.7:CSR	prx-2, ZK809.7	1	16	5	0	C1	1	0	Control
22G	Gene:WBGene00004210:22G:ptc-3, Y110A2AL.8:WAGO	ptc-3, Y110A2AL.8	2	4	3	1	C1	1	0	Control
22G	Gene:WBGene00004210:22G:ptc-3, Y110A2AL.8:WAGO	ptc-3, Y110A2AL.8	2	10	9	1	C1	1	0	Control
22G	Gene:WBGene00004245:22G:puf-9, W06B11.2:WAGO	puf-9, W06B11.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00004245:22G:puf-9, W06B11.2:WAGO	puf-9, W06B11.2	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00004273:22G:rab-10, T23H2.5:CSR	rab-10, T23H2.5	2	2	3	1	C1	0	1	Control
22G	Gene:WBGene00004273:22G:rab-10, T23H2.5:CSR	rab-10, T23H2.5	2	14	1	1	C1	0	1	Control
22G	Gene:WBGene00004313:22G:F54E4.1, rbc-1:WAGO	F54E4.1, rbc-1	2	2	3	1	C1	1	0	Control
22G	Gene:WBGene00004352:22G:rgs-9, ZC53.7:WAGO	rgs-9, ZC53.7	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00004352:22G:rgs-9, ZC53.7:WAGO	rgs-9, ZC53.7	2	16	1	1	C1	1	0	Control
