C1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
33,35948165	82,06529768	31,68543674	106,2246989	267,0125718	102,8980909	203,959146	35,10869011	74,25756204	284,9920107	
30,79336768	82,06529768	48,16186384	101,2140999	761,3903941	87,5114605	238,6755964	20,06210863	69,61646442	486,3166422	
22,45349727	63,96265849	39,28994156	58,12294843	190,1453163	55,77653527	130,1866889	48,4834292	56,62139106	175,1785754	
28,22725371	102,5816221	46,89444637	74,15686524	290,477313	86,5497961	173,5822519	29,25724176	106,7452454	444,4829525	
66,07743481	111,0295204	54,49895119	108,2289385	278,3403779	152,9046398	229,9964838	27,58539937	87,2526354	266,6897715	
51,32227947	101,3747795	82,38213552	95,20138105	118,9419638	97,12810452	182,2613645	59,35040471	85,39619635	196,0954202	
160,3821233	314,985922	158,4271837	212,4493977	296,141216	206,7578462	355,8436164	238,23754	199,567198	677,1828512	
50,68075097	139,9937431	60,83603854	95,20138105	103,5685127	99,05143332	312,4480535	51,82711397	50,12385438	287,6066163	
14,11362685	31,37790794	22,81351445	21,04451581	53,40251436	28,84993203	112,8284637	23,40579341	8,35397573	88,8965905	
7,056813427	20,51632442	7,604504817	25,05299501	50,97512734	14,42496602	39,05600668	20,89802983	3,712878102	57,52132327	
7,056813427	38,61896361	26,61576686	26,05511481	29,1286442	39,42824045	177,9218082	45,97566562	27,84658577	81,05277369	
394,5400234	1006,506739	888,4596461	807,7085592	865,7680358	909,7345235	3671,264628	341,891768	697,0928637	2350,530437	
19,2458548	60,34213065	58,3012036	82,17382365	111,6598028	63,46985048	243,0151527	22,56987221	104,8888064	232,6998987	
30,79336768	90,51319597	54,49895119	79,16746424	135,9336729	75,00982329	338,4853912	28,42132056	121,5967578	180,4077866	
25,66113973	84,47898291	35,48768915	93,19714145	64,73032044	53,85320646	164,9031393	29,25724176	53,83673248	159,4909418	
24,37808275	25,34369487	22,81351445	43,09115142	176,3901232	32,69658964	104,1493512	15,04658148	37,12878102	101,9696185	
27,58572521	54,30791758	40,55735902	33,06995342	101,1411257	74,04815889	91,13068226	30,09316295	62,19070821	251,0021379	
155,8914239	234,1274669	191,3800379	202,4281997	313,1329251	326,9658964	559,8027624	80,24843454	116,9556602	567,3694158	
43,62393755	74,824242	74,7776307	65,13778704	259,7304107	116,3613925	160,563583	42,63198085	132,7353922	397,4200517	
34,64253864	59,13528803	57,03378613	69,14626624	232,2200246	77,89481649	125,8471326	34,27276892	69,61646442	334,6695172	
18,60432631	44,65317668	41,82477649	35,07419302	109,2324157	74,04815889	86,79112596	15,88250267	71,47290347	282,3774051	
37,85018111	231,7137817	83,64955299	124,2628553	585,8093999	126,939701	151,8844704	61,0222471	45,48275675	569,9840214	
19,2458548	103,7884647	39,28994156	49,10387023	186,9088003	91,35811811	69,43290077	34,27276892	65,90358631	269,3043771	
16,03821233	68,79002894	36,75510662	34,07207322	554,2533687	54,81487087	104,1493512	18,39026625	87,2526354	193,4808146	
27,58572521	57,92844542	48,16186384	50,10599003	419,9379538	83,6648029	112,8284637	38,45237488	68,68824489	211,7830538	
21,81196877	42,23949145	21,54609698	41,08691182	51,78425635	80,7798097	121,5075763	27,58539937	82,61153777	162,1055474	
19,88738329	27,7573801	40,55735902	24,05087521	89,8133196	47,12155566	104,1493512	20,06210863	317,4510777	112,4280409	
14,11362685	53,10107497	54,49895119	60,12718803	104,3776417	56,73819967	86,79112596	25,07763579	217,203369	345,1279396	
40,41629508	67,58318632	24,08093192	45,09539102	46,92948232	74,04815889	86,79112596	50,15527159	45,48275675	151,647125	
13,47209836	38,61896361	21,54609698	34,07207322	57,44815939	28,84993203	99,80979485	32,60092653	11,13863431	180,4077866	
10,90598439	48,27370452	40,55735902	55,11658903	54,21164337	29,81159644	69,43290077	24,2417146	25,99014672	214,3976594	
10,26445589	13,27526874	16,4764271	25,05299501	39,64732127	35,58158284	73,77245707	11,7028967	28,77480529	112,4280409	
32,71795316	90,51319597	43,09219396	51,10810983	57,44815939	66,35484368	95,47023856	41,79605965	33,41590292	128,1156745	
4,490699453	21,72316703	17,74384457	32,06783362	41,26557928	28,84993203	56,41423187	15,88250267	25,99014672	164,720153	
34,64253864	86,89266813	35,48768915	101,2140999	73,6307395	43,27489805	125,8471326	78,57659215	25,99014672	196,0954202	
50,68075097	89,30635336	41,82477649	65,13778704	84,95854557	126,939701	108,4889074	29,25724176	29,70302482	151,647125	
256,6113973	387,3964788	221,7980572	287,6083828	243,5478306	583,7302915	785,4596899	160,4968691	274,7529796	949,1018339	
162,3067088	185,8537624	233,2048144	185,3921631	153,734511	345,23752	659,6125573	58,51448352	214,4187104	685,026668	
28,8687822	49,48054713	27,88318433	31,06571382	33,17428922	72,12483009	99,80979485	35,10869011	24,13370766	138,574097	
35,28406713	34,99843578	16,4764271	55,11658903	8,091290054	68,27817248	56,41423187	35,9446113	41,76987865	86,2819849	
42,34088056	51,89423236	26,61576686	37,07843262	59,8755464	75,97148769	73,77245707	25,07763579	32,48768339	120,2718577	
61,58673536	65,1695011	40,55735902	67,14202664	38,02906326	97,12810452	104,1493512	13,37473909	47,3391958	78,43816809	
26,94419672	54,30791758	22,81351445	40,08479202	57,44815939	129,8246942	104,1493512	23,40579341	10,21041478	253,6167435	
12,83056987	26,55053748	7,604504817	20,04239601	16,18258011	18,27162362	26,03733779	7,523290738	1,856439051	26,14605603	
12,18904137	25,34369487	6,337087348	12,02543761	24,27387016	38,46657605	17,35822519	4,179605965	8,35397573	60,13592887	
1,92458548	15,68895397	6,337087348	7,014838604	16,18258011	13,46330162	39,05600668	4,179605965	0	47,06290085	
4,490699453	8,447898291	5,069669878	4,008479202	23,46474116	8,65497961	0	4,179605965	0	10,45842241	
1,92458548	1,206842613	2,534834939	3,006359402	8,091290054	2,884993203	4,339556298	3,343684772	0	5,229211206	
1,283056987	3,620527839	0	5,010599003	4,854774033	3,846657605	13,01866889	0	8,35397573	5,229211206	
0	1,206842613	3,802252409	0	8,091290054	6,731650808	13,01866889	0,835921193	0,928219526	2,614605603	
0,641528493	0	0	0	7,282161049	0,961664401	8,679112596	0	0	10,45842241	
1,92458548	2,413685226	3,802252409	0	1,618258011	1,923328802	8,679112596	0	0	5,229211206	
										
L2										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	
5,449367703	1,647070594	3,336149955	12,05810265	3,595878489	14,65874384	0	29,04572113	4,066106793	0	
2,724683851	5,490235315	5,004224933	18,48909074	2,397252326	10,99405788	5,724531145	11,44225378	27,78506308	4,614667213	
9,082279504	17,56875301	7,5063374	7,234861593	2,397252326	3,664685961	22,89812458	20,24398745	24,39664076	1,845866885	
2,724683851	3,294141189	3,336149955	5,627114572	2,397252326	3,664685961	5,724531145	7,921560307	11,52063591	3,69173377	
3,632911802	2,745117657	5,004224933	3,215494041	4,794504653	5,497028941	5,724531145	2,640520102	2,033053396	0,922933443	
2,724683851	6,039258846	0	4,823241062	2,397252326	7,329371921	5,724531145	23,76468092	15,58674271	2,768800328	
0	4,941211783	5,838262422	6,430988083	0	11,91022937	0	29,92589449	18,29748057	0	
0	8,235352972	14,17863731	10,45035563	1,198626163	8,245543411	57,24531145	39,60780153	8,132213586	0,922933443	
2,724683851	4,392188252	5,004224933	10,45035563	0	7,329371921	17,17359344	38,72762817	9,487582517	2,768800328	
25,43038261	21,41191773	51,71032431	62,70213381	15,58214012	109,0244073	74,41890489	82,73629654	39,305699	22,15040262	
